channel_id,channel_name,uploads_playlist_id,subscriber_count
UCxTFPM1NYtPVk1jBwUMJcnw,DecodingYT,UUxTFPM1NYtPVk1jBwUMJcnw,125000
UCn1gt6dY8fQ5OhC2yIi7CDg,Clinton Sparks,UUn1gt6dY8fQ5OhC2yIi7CDg,597
UCQs9LWejS23-kSWIuRKfncg,Phil Jacob,UUQs9LWejS23-kSWIuRKfncg,3670
UCipesWRQmLcOBExcfWl0R2g,THE RAHI,UUipesWRQmLcOBExcfWl0R2g,2780000
UCelpG3w9sV1bA6dLw--3rGQ,Being Caroline,UUelpG3w9sV1bA6dLw--3rGQ,3790
UCanxV6P3uYyM_QjIy9p-L_A,Nitraa B,UUanxV6P3uYyM_QjIy9p-L_A,823000
UCs5wAPodliO0oVxiTD8ruvg,Biaheza,UUs5wAPodliO0oVxiTD8ruvg,1340000
UCsQiYDzi0UtpdDIe7_DpcLw,Jordan Platten,UUsQiYDzi0UtpdDIe7_DpcLw,256000
UCxiudYA69dNRFEDgvolDbtA,জীবন-সমস্যার সমাধান,UUxiudYA69dNRFEDgvolDbtA,2180000
UCraEIu_mORQKKo8eV9pk6Cw,Carrie Green,UUraEIu_mORQKKo8eV9pk6Cw,59000
UCtq7V_9JVzyUd4CdADOlicA,Hashtag Window,UUtq7V_9JVzyUd4CdADOlicA,55900
UCUaRfdSe-gNw9L_6reiRWbQ,arnold wayne,UUUaRfdSe-gNw9L_6reiRWbQ,264
UCBwSufNse8VMBvQM_rCSvgQ,Morgz,UUBwSufNse8VMBvQM_rCSvgQ,12700000
UCGz_sL3Ny-l_fJF21iv0nYg,Teq Nik,UUGz_sL3Ny-l_fJF21iv0nYg,1240
UCpzJCfqlpzCwxaUAR0nwYgA,Saheli Chatterjee,UUpzJCfqlpzCwxaUAR0nwYgA,201000
UCOqyAC_b7_ZQw5oK4ZT25uA,Ador Flores,UUOqyAC_b7_ZQw5oK4ZT25uA,5060
UCRdOVoL5M2_dkPOHalOZrFA,How to Corporate,UURdOVoL5M2_dkPOHalOZrFA,188
UC6huXz0F6-7KA7-mW0jdejA,ErikTheElectric,UU6huXz0F6-7KA7-mW0jdejA,2850000
UCbnM9Ll4hMA0Y6TK_wxnZdg,Graphic Design Hindi Me,UUbnM9Ll4hMA0Y6TK_wxnZdg,324000
UCsgRzDyposB-piyScnwBWtg,Funny Finance Guy,UUsgRzDyposB-piyScnwBWtg,1820
UCcvz_NDB6U9ZkMIEvccXqdg,kübriela,UUcvz_NDB6U9ZkMIEvccXqdg,34200
UCJxA3BLZjqyZuLP6jRhwDUQ,Sales2Wealth | Gloria,UUJxA3BLZjqyZuLP6jRhwDUQ,4
UCTCalaCS72IHO3z9V0rTjJg,Thomas Gonnet,UUTCalaCS72IHO3z9V0rTjJg,80800
UCvzwov2TUYVFDvJ8CK99VpQ,Baird Business,UUvzwov2TUYVFDvJ8CK99VpQ,77400
UCWl1Q0yKf3BR7dlP9-3fF6g,Aamir R.,UUWl1Q0yKf3BR7dlP9-3fF6g,47700
UChUvKQ5WX6YQlP3dYh-bgCQ,Shweta Arora,UUhUvKQ5WX6YQlP3dYh-bgCQ,565000
UCBcvyY4YxxmjW2X8wt_XVQg,Aadhya Media,UUBcvyY4YxxmjW2X8wt_XVQg,136000
UCWnYAfQGsejbj8FHPM48oPg,Technical Umarzaib,UUWnYAfQGsejbj8FHPM48oPg,15600
UCRunot2C8JCcScDTI5Z42kQ,School counselor Jazz,UURunot2C8JCcScDTI5Z42kQ,4
UC1ORA3oNGYuQ8yQHrC7MzBg,syncbricks,UU1ORA3oNGYuQ8yQHrC7MzBg,4950
UCTWH-WVfrorlwnF2fOjUqcw,ZoCo Marketing,UUTWH-WVfrorlwnF2fOjUqcw,35900
UCAv6FDm72HC0ymAXDwKk9EQ,Lucy Benson,UUAv6FDm72HC0ymAXDwKk9EQ,182000
UCTf3uwh9qWZOx7JRJf1iU4Q,Aizaz Engineer,UUTf3uwh9qWZOx7JRJf1iU4Q,372000
UCEoy_HWq3T2OXAPeQBRcqdw,YouTube Wallah,UUEoy_HWq3T2OXAPeQBRcqdw,31800
UCWX0cUR2rZcqKei1Vstww-A,Harkirat Singh,UUWX0cUR2rZcqKei1Vstww-A,224000
UCvFUPwcSbuF6XEsKVjnRgPw,CINEMA DREAMS ENTERTAINMENTS,UUvFUPwcSbuF6XEsKVjnRgPw,41200
UCXq21-5vkOqtjEGlXB3tRig,Kittl,UUXq21-5vkOqtjEGlXB3tRig,28000
UCqkqOU9-ivOqatVZ-BkddUw,Small Business Mindset,UUqkqOU9-ivOqatVZ-BkddUw,59
UCCt0XCeUyqcdT0oTZgXx9cg,Kushal Lodha,UUCt0XCeUyqcdT0oTZgXx9cg,142000
UCGPfHvUQ0tQdmqMztZXbTdw,My Freedom Empire,UUGPfHvUQ0tQdmqMztZXbTdw,92900
UCuS-O57VkzfNtiSMPGK9WDQ,Chetan Agarwal,UUuS-O57VkzfNtiSMPGK9WDQ,8370
UC_rI3y1DzDULTr-UIvshiwg,Pack Hacker,UU_rI3y1DzDULTr-UIvshiwg,268000
UCxKdXF29g0s5lStibrtOmLw,TalkShop,UUxKdXF29g0s5lStibrtOmLw,25200
UC-b3c7kxa5vU-bnmaROgvog,The Futur,UU-b3c7kxa5vU-bnmaROgvog,2260000
